latitude,longitude,vibe
22.5726,88.3639,city
27.041,88.2663,mountain
21.6278,87.5336,beach
21.9497,89.1833,forest
26.7271,88.3953,hill-town
23.6779,87.6864,cultural
24.175,88.2802,heritage
21.65,87.7167,beach
26.8825,88.278,mountain
27.0646,88.473,mountain
22.2994,70.7939,heritage
15.2993,74.124,beach
32.2432,77.1892,mountain
26.9124,75.7873,desert
12.9716,77.5946,city
28.7041,77.1025,urban
19.076,72.8777,urban
13.0827,80.2707,urban
17.385,78.4867,city
18.5204,73.8567,urban
11.0168,76.9558,urban
25.5941,85.1376,city
23.2599,77.4126,urban
31.1048,77.1734,mountain
25.3176,82.9739,heritage
20.2961,85.8245,urban
22.7196,75.8577,urban
26.8467,80.9462,city
15.9129,79.74,urban
9.9312,76.2673,beach
10.0889,77.0595,mountain
34.1526,77.577,mountain
21.1702,72.8311,urban
19.9975,73.7898,urban
23.0225,72.5714,urban
8.5241,76.9366,beach
22.9734,78.6569,cultural
25.4358,81.8463,heritage
22.3072,73.1812,urban
23.1765,75.7885,urban
22.5726,85.801,city
23.3441,85.3096,urban
26.1445,91.7362,urban
24.817,93.9368,hill-town
25.5788,91.8933,mountain
27.3314,88.6138,mountain
11.2588,75.7804,urban
11.7401,79.768,beach
9.2876,79.3129,coastal
20.2686,73.0159,rural
20.3888,78.1204,rural
21.1458,79.0882,urban
23.25,87.85,cultural
24.801,93.9376,mountain
24.5689,73.6908,heritage
26.4499,74.6399,desert
25.3801,72.4224,desert
23.8315,91.2868,urban
26.9182,75.7878,heritage
19.2183,73.1645,urban
30.3165,78.0322,hill-town
29.9457,78.1642,cultural
20.0059,73.7894,urban
21.1458,79.0882,urban
31.633,74.8723,heritage
30.7333,76.7794,urban
32.7266,74.857,city
9.305,76.595,forest
13.3409,74.7421,beach
28.3941,79.4304,urban
25.4484,78.5685,rural
,,
17.6868,83.2185,beach
15.8281,78.0373,rural
23.8388,78.7378,cultural
25.4358,81.8463,heritage
22.3072,73.1812,urban
23.1765,75.7885,urban
22.5726,85.801,city
23.3441,85.3096,urban
26.1445,91.7362,urban
24.817,93.9368,hill-town
25.5788,91.8933,mountain
27.3314,88.6138,mountain
11.2588,75.7804,urban
11.7401,79.768,beach
9.2876,79.3129,coastal
20.2686,73.0159,rural
20.3888,78.1204,rural
21.1458,79.0882,urban
23.25,87.85,cultural
24.801,93.9376,mountain
24.5689,73.6908,heritage
26.4499,74.6399,desert
25.3801,72.4224,desert
23.8315,91.2868,urban
26.9182,75.7878,heritage
19.2183,73.1645,urban
30.3165,78.0322,hill-town
29.9457,78.1642,cultural
20.0059,73.7894,urban
